road,lat,lon,current_speed,free_flow_speed,confidence,timestamp,congestion_percent,rush_hour,congestion_level,low_confidence,is_weekend,hour,speed_diff,temperature,weathercode,weather
Pettarani,-5.179262,119.463824,26,36,0.867033,2025-05-26 20:10:25,27.77777777777778,False,Low,False,False,20,,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,26,36,0.867033,2025-05-26 20:10:26,27.77777777777778,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:10:26,0.0,False,Low,False,False,20,9.0,29.7,1,clear
Pettarani,-5.179262,119.463824,26,36,0.903894,2025-05-26 20:15:27,27.77777777777778,False,Low,False,False,20,-9.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,26,36,0.903894,2025-05-26 20:15:28,27.77777777777778,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,29,34,0.869678,2025-05-26 20:15:29,14.70588235294118,False,Low,False,False,20,3.0,29.7,1,clear
Pettarani,-5.179262,119.463824,27,35,0.93202,2025-05-26 20:20:30,22.857142857142854,False,Low,False,False,20,-2.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,27,35,0.93202,2025-05-26 20:20:31,22.857142857142854,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,28,35,0.894874,2025-05-26 20:20:32,19.999999999999996,False,Low,False,False,20,1.0,29.7,1,clear
Pettarani,-5.179262,119.463824,28,35,0.959246,2025-05-26 20:25:33,19.999999999999996,False,Low,False,False,20,0.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,28,35,0.959246,2025-05-26 20:25:33,19.999999999999996,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:25:34,0.0,False,Low,False,False,20,7.0,29.7,1,clear
Pettarani,-5.179262,119.463824,28,36,0.96729,2025-05-26 20:30:35,22.22222222222222,False,Low,False,False,20,-7.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,28,36,0.96729,2025-05-26 20:30:36,22.22222222222222,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:30:36,0.0,False,Low,False,False,20,7.0,29.7,1,clear
Pettarani,-5.179262,119.463824,29,36,0.933387,2025-05-26 20:53:02,19.444444444444443,False,Low,False,False,20,-6.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,29,36,0.933387,2025-05-26 20:53:02,19.444444444444443,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,27,34,0.902777,2025-05-26 20:53:03,20.588235294117652,False,Low,False,False,20,-2.0,29.7,1,clear
Pettarani,-5.179262,119.463824,29,35,0.918839,2025-05-26 20:58:04,17.14285714285714,False,Low,False,False,20,2.0,29.7,1,clear
Tun Abdul Razak,-5.180458,119.465541,29,35,0.918839,2025-05-26 20:58:05,17.14285714285714,False,Low,False,False,20,0.0,29.7,1,clear
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:58:06,0.0,False,Low,False,False,20,6.0,29.7,1,clear
Pettarani,-5.179262,119.463824,30,35,0.90032,2025-05-26 21:03:07,14.28571428571429,False,Low,False,False,21,-5.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,30,35,0.90032,2025-05-26 21:03:07,14.28571428571429,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:03:08,0.0,False,Low,False,False,21,5.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:08:09,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:08:10,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:08:11,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:13:12,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:13:12,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:13:13,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:18:14,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:18:15,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:18:16,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:23:16,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:23:17,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:23:19,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:28:20,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:28:21,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:28:22,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:33:23,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:33:23,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:33:24,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:38:25,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:38:26,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:38:27,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:43:28,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:43:29,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:43:29,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:48:30,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:48:31,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:48:32,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:53:35,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:53:36,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:53:48,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 21:58:49,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 21:58:50,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:58:52,0.0,False,Low,False,False,21,0.0,28.7,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 22:03:54,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 22:03:55,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 22:03:56,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 22:08:56,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 22:08:58,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 22:08:59,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 22:14:00,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 22:14:01,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
