road,lat,lon,current_speed,free_flow_speed,confidence,timestamp
Pettarani,-5.179262,119.463824,26,36,0.867033,2025-05-26 20:10:25
Tun Abdul Razak,-5.180458,119.465541,26,36,0.867033,2025-05-26 20:10:26
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:10:26
Pettarani,-5.179262,119.463824,26,36,0.903894,2025-05-26 20:15:27
Tun Abdul Razak,-5.180458,119.465541,26,36,0.903894,2025-05-26 20:15:28
Sultan Alauddin,-5.202323,119.495785,29,34,0.869678,2025-05-26 20:15:29
Pettarani,-5.179262,119.463824,27,35,0.93202,2025-05-26 20:20:30
Tun Abdul Razak,-5.180458,119.465541,27,35,0.93202,2025-05-26 20:20:31
Sultan Alauddin,-5.202323,119.495785,28,35,0.894874,2025-05-26 20:20:32
Pettarani,-5.179262,119.463824,28,35,0.959246,2025-05-26 20:25:33
Tun Abdul Razak,-5.180458,119.465541,28,35,0.959246,2025-05-26 20:25:33
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:25:34
Pettarani,-5.179262,119.463824,28,36,0.96729,2025-05-26 20:30:35
Tun Abdul Razak,-5.180458,119.465541,28,36,0.96729,2025-05-26 20:30:36
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:30:36
Pettarani,-5.179262,119.463824,29,36,0.933387,2025-05-26 20:53:02
Tun Abdul Razak,-5.180458,119.465541,29,36,0.933387,2025-05-26 20:53:02
Sultan Alauddin,-5.202323,119.495785,27,34,0.902777,2025-05-26 20:53:03
Pettarani,-5.179262,119.463824,29,35,0.918839,2025-05-26 20:58:04
Tun Abdul Razak,-5.180458,119.465541,29,35,0.918839,2025-05-26 20:58:05
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 20:58:06
Pettarani,-5.179262,119.463824,30,35,0.90032,2025-05-26 21:03:07
Tun Abdul Razak,-5.180458,119.465541,30,35,0.90032,2025-05-26 21:03:07
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 21:03:08
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:08:09
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:08:10
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:08:11
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:13:12
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:13:12
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:13:13
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:18:14
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:18:15
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:18:16
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:23:16
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:23:17
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:23:19
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:28:20
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:28:21
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:28:22
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:33:23
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:33:23
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:33:24
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:38:25
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:38:26
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:38:27
